architecture	signal_strength	source_regime	method	dominant_source_fraction	mean_dependency_group_size	label_noise_fraction	metric	successes	replicates	rate	ci95_low	ci95_high	mean_margin	median_margin
full	0.35	homogeneous	source_equal	0.85	15	0.0	full_route_recovered	301	400	0.7525	0.7071807630306682	0.7940381191299262	0.17307476982694087	0.17598051521443586
full	0.35	homogeneous	source_equal	0.85	15	0.15	full_route_recovered	239	400	0.5975	0.5476157756295734	0.6459305609376007	0.0989810494265308	0.09878728710839085
full	0.35	homogeneous	source_equal	0.85	15	0.3	full_route_recovered	194	400	0.485	0.43504155717061616	0.5351819480889384	0.04716633360129281	0.04668224318125605
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	1	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20298298602510342	0.2039400219173351
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	1	0.15	full_route_recovered	384	400	0.96	0.9358539890609492	0.9769666042594511	0.11187388621092531	0.11306221639993805
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	1	0.3	full_route_recovered	203	400	0.5075	0.45735749030173156	0.5575307582636716	0.042914228084921006	0.04322176870403645
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	5	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.20384003963465788	0.2043422104955587
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	5	0.15	full_route_recovered	397	400	0.9925	0.9782393314855828	0.9984506410500943	0.11952942038555736	0.11885601677473201
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	5	0.3	full_route_recovered	346	400	0.865	0.8275515326630767	0.896930900847685	0.05494905298739443	0.05597427776997415
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	15	0.0	full_route_recovered	400	400	1.0	0.9908201954163347	1.0	0.2031888049087454	0.2044920702702941
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	15	0.15	full_route_recovered	399	400	0.9975	0.9861502300379867	0.9999367074830952	0.12134797383994174	0.12084646819288694
full	0.35	homogeneous	source_equal_dependency_collapsed	0.2	15	0.3	full_route_recovered	391	400	0.9775	0.9577189699633272	0.9896611490413162	0.05955349644896121	0.0604461466315011
